ts,frame_hex,cmd,sub,payload_len
2026-08-05T02:12:34.886608+00:00,a55a3b8211000ce60cec0cf90d1b0cfc0ceb0ce50d120d200cf50cee0ce70d040ce70cee0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:34.986861+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:34.986987+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:34.987019+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:34.987046+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:34.987072+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:34.987098+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:34.987124+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:34.987149+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:34.987175+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:34.987200+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:34.987225+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:34.987251+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:35.087526+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:35.087715+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:35.087759+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:35.087786+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:35.087812+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:35.087836+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:35.087861+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:35.087886+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:35.087910+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:35.087934+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:35.087960+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:35.087985+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:35.188254+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:35.188383+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:35.188416+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:35.188443+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:35.188470+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:35.489133+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:35.489265+00:00,a55a2582100014bd03c5002600080040002b002500000cf600000001000100350001000100010000,0x82,0x10,35
2026-08-05T02:12:35.489300+00:00,a55a3b8211000ce70cec0cf70d1b0cfe0cee0ce50d0e0d240cf50cec0ce90d040ce60cee0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:35.489333+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:35.489360+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:35.489387+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:35.489413+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:35.589629+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:35.589757+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:35.589787+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:35.589814+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:35.589841+00:00,a55a05822083001f,0x82,0x20,3
2026-08-05T02:12:35.589866+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:12:35.589892+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:12:35.589918+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:12:35.589943+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:12:35.589969+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:12:35.589994+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:12:35.590019+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:12:35.690236+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:12:35.690359+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:12:35.690388+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:12:35.690413+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:12:35.690438+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:12:35.690462+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:12:35.690487+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:12:35.690510+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:12:35.690534+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:12:35.690558+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:12:35.690582+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:12:35.690606+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:12:35.790868+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:12:36.091960+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:12:36.092352+00:00,a55a2582100014bd03c2002700080040002b002500000cf600000001000100330001000100010000,0x82,0x10,35
2026-08-05T02:12:36.092486+00:00,a55a3b8211000ce60ceb0cfa0d1b0cfa0cec0ce50d0e0d230cf50cee0ce90d030ce70cef0cdf000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:12:36.092528+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:12:36.092556+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:12:36.092587+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:12:36.092672+00:00,a55a0582203307e0,0x82,0x20,3
2026-08-05T02:12:36.092781+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:12:36.092821+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:12:36.092848+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:12:36.093053+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:12:36.193367+00:00,a55a05822083001f,0x82,0x20,3
