ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:02:39.519296+00:00,a55a25821000142803dd0024000200590025002400000c9900000001000100350001000100010000,5160,989,36,2,89,37,36,0,3225,0,1,1,53,1,1,1,0
2026-08-05T02:02:40.121503+00:00,a55a25821000142803e00025000200590025002400000c9a00000001000100330001000100010000,5160,992,37,2,89,37,36,0,3226,0,1,1,51,1,1,1,0
2026-08-05T02:02:40.623561+00:00,a55a25821000142903da00260002005a0025002400000c9a00000001000100340001000100010000,5161,986,38,2,90,37,36,0,3226,0,1,1,52,1,1,1,0
2026-08-05T02:02:41.225799+00:00,a55a25821000142903da00270002005a0025002400000c9a00000001000100350001000100010000,5161,986,39,2,90,37,36,0,3226,0,1,1,53,1,1,1,0
2026-08-05T02:02:41.827979+00:00,a55a25821000142a03e000280002005a0025002400000c9a00000001000100330001000100010000,5162,992,40,2,90,37,36,0,3226,0,1,1,51,1,1,1,0
2026-08-05T02:02:42.329813+00:00,a55a25821000142a03dd00290002005a0025002400000c9b00000001000100340001000100010000,5162,989,41,2,90,37,36,0,3227,0,1,1,52,1,1,1,0
2026-08-05T02:02:42.931952+00:00,a55a25821000142a03dd001f0002005a0025002400000c9b00000001000100350001000100010000,5162,989,31,2,90,37,36,0,3227,0,1,1,53,1,1,1,0
2026-08-05T02:02:43.534273+00:00,a55a25821000142b03dd00200002005a0025002400000c9b00000001000100330001000100010000,5163,989,32,2,90,37,36,0,3227,0,1,1,51,1,1,1,0
2026-08-05T02:02:44.036076+00:00,a55a25821000142b03e000210002005a0025002400000c9b00000001000100340001000100010000,5163,992,33,2,90,37,36,0,3227,0,1,1,52,1,1,1,0
2026-08-05T02:02:44.638187+00:00,a55a25821000142c03e000220002005a0025002400000c9c00000001000100350001000100010000,5164,992,34,2,90,37,36,0,3228,0,1,1,53,1,1,1,0
2026-08-05T02:02:45.240426+00:00,a55a25821000142c03e400230002005a0025002400000c9c00000001000100330001000100010000,5164,996,35,2,90,37,36,0,3228,0,1,1,51,1,1,1,0
